no_of_adults;no_of_children;no_of_weekend_nights;no_of_week_nights;type_of_meal_plan;required_car_parking_space;room_type_reserved;market_segment_type;booking_status
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;3;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 7;Online;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;2;0;2;Meal Plan 1;0;Room_Type 6;Online;Canceled
3;0;2;3;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;4;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
1;0;1;0;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;0;1;1;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
1;0;1;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;2;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
3;0;2;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;3;Meal Plan 1;0;Room_Type 1;Corporate;Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;0;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;1;0;Not Selected;0;Room_Type 1;Online;Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;2;0;1;Meal Plan 2;0;Room_Type 6;Online;Canceled
2;0;1;4;Meal Plan 1;1;Room_Type 1;Online;Not_Canceled
3;0;1;1;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;1;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;2;0;Not Selected;0;Room_Type 1;Online;Canceled
1;0;1;3;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;4;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 1;1;Room_Type 4;Online;Not_Canceled
2;0;1;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;1;1;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;1;2;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;1;0;2;Meal Plan 1;0;Room_Type 6;Offline;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;2;2;5;Meal Plan 2;0;Room_Type 6;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Corporate;Canceled
2;0;2;5;Meal Plan 2;0;Room_Type 4;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;1;2;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 7;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;0;2;1;Not Selected;0;Room_Type 1;Online;Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 5;Corporate;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
3;0;0;4;Meal Plan 1;0;Room_Type 4;Online;Canceled
1;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;1;Room_Type 1;Online;Not_Canceled
3;0;1;2;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;1;0;Meal Plan 1;1;Room_Type 4;Complementary;Not_Canceled
1;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
3;0;1;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;3;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;4;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;2;2;5;Meal Plan 1;0;Room_Type 6;Online;Canceled
2;0;2;3;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;3;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;3;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 2;0;Room_Type 1;Online;Canceled
1;0;1;0;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
1;0;2;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;2;1;3;Meal Plan 1;0;Room_Type 6;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Meal Plan 1;1;Room_Type 1;Online;Not_Canceled
3;0;0;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;2;5;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;5;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Meal Plan 2;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Corporate;Canceled
1;0;2;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;2;0;Meal Plan 2;0;Room_Type 1;Online;Not_Canceled
2;0;0;5;Not Selected;0;Room_Type 1;Online;Canceled
1;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
3;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 2;Online;Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;4;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;1;2;0;Meal Plan 1;0;Room_Type 4;Online;Canceled
3;0;2;3;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;2;2;3;Meal Plan 1;0;Room_Type 6;Online;Canceled
2;1;2;0;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;0;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;4;Not Selected;0;Room_Type 1;Online;Canceled
2;0;1;3;Meal Plan 2;0;Room_Type 1;Online;Not_Canceled
0;2;0;1;Meal Plan 1;0;Room_Type 2;Complementary;Not_Canceled
2;0;2;5;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;5;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;3;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;5;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;5;Meal Plan 1;1;Room_Type 2;Complementary;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 6;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;2;1;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;2;0;2;Not Selected;0;Room_Type 6;Online;Not_Canceled
2;0;0;2;Not Selected;0;Room_Type 4;Online;Not_Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 2;Online;Canceled
2;0;1;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;5;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;2;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 4;Online;Canceled
1;0;1;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;1;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;5;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;3;Meal Plan 1;1;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;1;0;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Complementary;Not_Canceled
1;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;2;4;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 4;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
3;0;0;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
1;0;1;0;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;5;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;3;5;Meal Plan 1;0;Room_Type 6;Online;Canceled
2;1;1;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;1;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;1;Not Selected;0;Room_Type 1;Offline;Not_Canceled
2;0;0;3;Not Selected;0;Room_Type 1;Offline;Not_Canceled
3;0;1;2;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
1;0;2;4;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;3;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
0;2;1;0;Meal Plan 1;0;Room_Type 2;Online;Canceled
2;0;2;2;Meal Plan 1;1;Room_Type 2;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
1;0;1;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
3;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;1;1;3;Not Selected;0;Room_Type 1;Offline;Not_Canceled
1;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;2;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;0;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Not Selected;0;Room_Type 1;Online;Canceled
2;0;2;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;4;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 2;Offline;Not_Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
2;0;0;1;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;3;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Canceled
1;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;1;1;3;Meal Plan 1;0;Room_Type 4;Offline;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
0;2;0;2;Meal Plan 1;0;Room_Type 2;Online;Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;8;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;1;Meal Plan 2;0;Room_Type 1;Online;Canceled
2;0;1;5;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;1;1;Meal Plan 2;0;Room_Type 4;Online;Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 1;1;Room_Type 1;Online;Not_Canceled
2;0;1;3;Not Selected;0;Room_Type 1;Online;Canceled
2;0;2;4;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
3;0;2;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;2;1;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;1;Meal Plan 1;0;Room_Type 2;Online;Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;2;0;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;2;5;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;2;Meal Plan 2;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
1;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
1;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;1;Meal Plan 2;0;Room_Type 1;Online;Not_Canceled
2;0;2;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;4;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
1;0;0;1;Not Selected;0;Room_Type 1;Offline;Not_Canceled
2;0;1;4;Meal Plan 1;0;Room_Type 2;Online;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;2;5;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;1;Room_Type 1;Online;Not_Canceled
1;0;1;0;Meal Plan 1;1;Room_Type 1;Corporate;Not_Canceled
2;0;0;3;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;0;3;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;2;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 7;Complementary;Not_Canceled
2;0;2;2;Meal Plan 1;0;Room_Type 1;Online;Canceled
3;0;2;3;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;1;1;Meal Plan 1;1;Room_Type 4;Online;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;1;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
1;0;2;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
1;0;0;2;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Not Selected;0;Room_Type 1;Online;Canceled
3;0;2;2;Meal Plan 1;0;Room_Type 4;Online;Canceled
2;0;0;3;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;1;1;Not Selected;0;Room_Type 1;Online;Canceled
2;0;2;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;1;3;Meal Plan 1;0;Room_Type 4;Online;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;2;1;0;Meal Plan 1;0;Room_Type 6;Online;Not_Canceled
2;0;1;0;Meal Plan 1;0;Room_Type 1;Complementary;Not_Canceled
3;0;2;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
3;0;0;1;Meal Plan 1;0;Room_Type 4;Online;Canceled
1;0;0;4;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;2;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
2;0;0;1;Not Selected;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
1;2;1;0;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;1;1;3;Meal Plan 2;0;Room_Type 1;Offline;Not_Canceled
2;0;1;1;Not Selected;0;Room_Type 1;Online;Canceled
2;0;0;2;Not Selected;0;Room_Type 1;Online;Not_Canceled
1;0;0;1;Meal Plan 1;1;Room_Type 1;Corporate;Not_Canceled
2;1;0;1;Meal Plan 1;0;Room_Type 1;Online;Canceled
2;0;0;4;Meal Plan 1;0;Room_Type 4;Online;Canceled
1;0;1;0;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
1;0;0;1;Meal Plan 1;0;Room_Type 1;Corporate;Not_Canceled
2;0;2;1;Meal Plan 1;0;Room_Type 1;Online;Not_Canceled
2;0;0;3;Meal Plan 1;0;Room_Type 1;Offline;Not_Canceled
